code,nom,latitude,longitude
97302,CAYENNE,5.021737428276778,-52.501251111283274
71459,SAINT-MARTIN-SOUS-MONTAIGU,46.81349782915081,4.710027521495861
85287,TALLUD-SAINTE-GEMME,46.69493868615589,-0.886169517111807
77414,SAINT-HILLIERS,48.62891464105825,3.2582355268439223
50077,BRETTEVILLE,49.65003234405619,-1.5082745019963562
35317,SAINT-SYMPHORIEN,48.28061485101972,-1.803345445614521
60388,MARTINCOURT,49.53017683425905,1.904472417732129
16015,ANGOULEME,45.64725851458752,0.145144906829928
16237,MOUTON,45.887443561384536,0.23645107053541603
01202,LAGNIEU,45.89170157979072,5.329175188945736
81184,MONTROSIER,44.13023811549815,1.8409133842832262
12018,BALAGUIER-D'OLT,44.5189126443148,1.9771926377212372
50181,FEUGERES,49.14877592847295,-1.317273313549033
